NetID,AdvEmail,SchoolName
EXM799939,EXM799939@utdallas.edu,School of Behavioral and Brain Sciences
JXL649318,JXL649318@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
JXG945362,JXG945362@utdallas.edu,Naveen Jindal School of Management
NXH650571,NXH650571@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
RXO358650,RXO358650@utdallas.edu,School of Natural Sciences and Mathematics
KXF448066,KXF448066@utdallas.edu,"School of Economic, Political and Policy Sciences"
PXA357588,PXA357588@utdallas.edu,School of Interdisciplinary Studies
EXJ889115,EXJ889115@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
CXG742327,CXG742327@utdallas.edu,Naveen Jindal School of Management
FXC233559,FXC233559@utdallas.edu,School of Natural Sciences and Mathematics
GXD966247,GXD966247@utdallas.edu,School of Behavioral and Brain Sciences
DXH726916,DXH726916@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
AXT318122,AXT318122@utdallas.edu,School of Behavioral and Brain Sciences
MXM660055,MXM660055@utdallas.edu,Naveen Jindal School of Management
CXC759038,CXC759038@utdallas.edu,School of Interdisciplinary Studies
AXW414922,AXW414922@utdallas.edu,School of Behavioral and Brain Sciences
KXR980530,KXR980530@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
OXL746482,OXL746482@utdallas.edu,Naveen Jindal School of Management
GXB725458,GXB725458@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
GXH677525,GXH677525@utdallas.edu,School of Natural Sciences and Mathematics
MXL887911,MXL887911@utdallas.edu,"School of Economic, Political and Policy Sciences"
GXS125028,GXS125028@utdallas.edu,School of Interdisciplinary Studies
MXS848821,MXS848821@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
RXL269262,RXL269262@utdallas.edu,Naveen Jindal School of Management
SXE927320,SXE927320@utdallas.edu,School of Natural Sciences and Mathematics
SXP650598,SXP650598@utdallas.edu,School of Behavioral and Brain Sciences
JXT716113,JXT716113@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
BXY636857,BXY636857@utdallas.edu,School of Behavioral and Brain Sciences
SXC412941,SXC412941@utdallas.edu,Naveen Jindal School of Management
RXR193836,RXR193836@utdallas.edu,"School of Economic, Political and Policy Sciences"
GXG117376,GXG117376@utdallas.edu,School of Behavioral and Brain Sciences
GXP716354,GXP716354@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
PXF157537,PXF157537@utdallas.edu,Naveen Jindal School of Management
RXD657893,RXD657893@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
BXK433813,BXK433813@utdallas.edu,School of Natural Sciences and Mathematics
BXB567937,BXB567937@utdallas.edu,"School of Economic, Political and Policy Sciences"
LXJ162003,LXJ162003@utdallas.edu,School of Interdisciplinary Studies
WXT640187,WXT640187@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
KXJ129533,KXJ129533@utdallas.edu,Naveen Jindal School of Management
DXP101368,DXP101368@utdallas.edu,School of Natural Sciences and Mathematics
SXG917807,SXG917807@utdallas.edu,School of Behavioral and Brain Sciences
AXM500518,AXM500518@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
KXC638653,KXC638653@utdallas.edu,School of Behavioral and Brain Sciences
EXD732421,EXD732421@utdallas.edu,Naveen Jindal School of Management
FXB600370,FXB600370@utdallas.edu,"School of Economic, Political and Policy Sciences"
AXW877866,AXW877866@utdallas.edu,School of Behavioral and Brain Sciences
UXH919615,UXH919615@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
CXC108254,CXC108254@utdallas.edu,Naveen Jindal School of Management
NXT841036,NXT841036@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
FXD126627,FXD126627@utdallas.edu,School of Natural Sciences and Mathematics
IXP708768,IXP708768@utdallas.edu,"School of Economic, Political and Policy Sciences"
JXP838555,JXP838555@utdallas.edu,School of Interdisciplinary Studies
MXS384331,MXS384331@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
AXC137418,AXC137418@utdallas.edu,Naveen Jindal School of Management
FXC930680,FXC930680@utdallas.edu,School of Natural Sciences and Mathematics
DXB781014,DXB781014@utdallas.edu,School of Behavioral and Brain Sciences
SXF228330,SXF228330@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
EXL294845,EXL294845@utdallas.edu,Naveen Jindal School of Management
NXG334037,NXG334037@utdallas.edu,Naveen Jindal School of Management
JXK994238,JXK994238@utdallas.edu,School of Behavioral and Brain Sciences
BXK249224,BXK249224@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
RXH481893,RXH481893@utdallas.edu,Naveen Jindal School of Management
RXM626633,RXM626633@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
SXH445122,SXH445122@utdallas.edu,School of Natural Sciences and Mathematics
CXV772446,CXV772446@utdallas.edu,"School of Economic, Political and Policy Sciences"
FXW602612,FXW602612@utdallas.edu,School of Interdisciplinary Studies
MXJ431490,MXJ431490@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
EXF262616,EXF262616@utdallas.edu,Naveen Jindal School of Management
TXC587689,TXC587689@utdallas.edu,School of Natural Sciences and Mathematics
CXL355869,CXL355869@utdallas.edu,School of Behavioral and Brain Sciences
EXV540841,EXV540841@utdallas.edu,Erik Jonsson School of Engineering and Computer Science
AXG399582,AXG399582@utdallas.edu,Naveen Jindal School of Management
CXM986230,CXM986230@utdallas.edu,"Harry W. Bass Jr. School of Arts, Humanities, and Technology"
