First_name,Last_name,DOB,Gender,NetID
Dickie,Geydon,1983-04-14,Male,DXG541427
Robinette,Plackstone,1971-01-11,Female,RXP837231
Brynn,Lyburn,1947-04-25,Female,BXL538679
Emmalee,Ganders,1974-06-26,Female,EXG579303
Sly,Firminger,1977-11-30,Male,SXF759906
Bartholemy,McDunlevy,1959-04-23,Male,BXM469835
Edyth,Minette,1976-01-13,Female,EXM329668
Erhart,O'Concannon,1962-03-07,Male,EXO961224
Bryan,Jakubiak,1961-02-23,Male,BXJ530912
Waverly,Attenborrow,1954-01-02,Male,WXA390622
Car,Chillistone,1975-10-11,Male,CXC701631
Juliet,Shucksmith,1976-11-25,Female,JXS888509
Kore,Eskrigge,1958-03-06,Female,KXE743097
Billye,McAuley,1966-01-24,Female,BXM724813
Adriana,Ciccoloi,1959-04-12,Female,AXC274591
Van,Ziems,1968-10-01,Male,VXZ975022
Lawry,Speir,1978-01-30,Male,LXS457332
Loralie,Tulloch,1973-10-28,Female,LXT773444
Hedi,Osinin,1957-11-28,Female,HXO707420
Cissy,Murkitt,1952-02-25,Female,CXM373605
Demeter,Targett,1950-11-04,Female,DXT914151
Val,Cambridge,1973-06-06,Male,VXC264580
Flory,Hassell,1970-01-03,Female,FXH993948
Donaugh,Tween,1955-05-06,Male,DXT604414
Phillip,Garman,1970-11-06,Male,PXG539700
Rurik,Worlock,1951-12-29,Male,RXW321506
Amandi,Maroney,1948-03-23,Female,AXM873807
Mirabelle,Kirkam,1973-08-18,Female,MXK138296
Bethena,Bruna,1946-12-29,Female,BXB433738
Haskell,Tomasello,1974-02-10,Male,HXT417270
Cully,Pantone,1946-12-12,Male,CXP644398
Gregory,Conachie,1978-02-27,Male,GXC405989
Rex,Kewish,1976-04-15,Male,RXK839065
Clevey,Manilow,1976-09-26,Male,CXM293635
Pet,Lecointe,1978-03-01,Female,PXL252499
Eimile,Bolter,1981-08-26,Female,EXB918643
Carree,Borsay,1958-11-03,Female,CXB130089
Jillana,Moreing,1947-08-16,Female,JXM695106
Mable,Warren,1948-03-11,Female,MXW971935
Gunter,Warin,1971-02-24,Male,GXW325754
Edan,Kleehuhler,1966-11-22,Male,EXK443263
Korry,Mussared,1964-08-21,Female,KXM944811
